Company,Spec,Location,Content,Link
조인아이티,경력1년↑,서울 영등포구,"SM/운영/java,python,hadoop,hive/고급/즉시-년단위/카드Digital운영/여의도",https://www.jobkorea.co.kr/Recruit/GI_Read/35163444?Oem_Code=C1&logpath=1
㈜알바스텔라,경력무관,서울 금천구 외,"[알바스텔라] 함께 오래 할 웹/모바일 개발자를 찾습니다. - php, java, python",https://www.jobkorea.co.kr/Recruit/GI_Read/35154892?Oem_Code=C1&logpath=1
㈜아이엔어소시에이츠,경력무관,서울 서초구,백엔드 개발자(PYTHON)를 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/35140134?Oem_Code=C1&logpath=1
㈜고른,경력무관,경기 용인시 외,"(주)고른 보안 컨설턴트, Python 개발자, 서버 엔지니어 신입/경력 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/35131855?Oem_Code=C1&logpath=1
창노텍,경력무관,대전 서구,디자인 일러스터 1인/ 웹 프론트엔드 1인/ 백엔드 1인 모집( Python),https://www.jobkorea.co.kr/Recruit/GI_Read/35100308?Oem_Code=C1&logpath=1
글로벌산업기술교육원,경력무관,서울 금천구,[직업훈련] 파이썬(python) 강사 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/35045812?Oem_Code=C1&logpath=1
㈜신성엔에스텍,경력2년↑,경기 고양시,"기술연구소 BIT(C#, Visual Studio, 파이썬등) SW개발 정규직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/34999609?Oem_Code=C1&logpath=1
㈜아이알에스소프트코리아,신입·경력,서울 구로구,"Python, JAVA 개발이 가능한 경력 및 신입 엔지니어 모집합니다.(검색엔진 및 AI 관련 경험 우대)",https://www.jobkorea.co.kr/Recruit/GI_Read/34974411?Oem_Code=C1&logpath=1
하이미디어컴퓨터학원,경력,서울 종로구,Python 활용한 머신러닝 딥러닝 프로젝트 멘토 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/34929214?Oem_Code=C1&logpath=1
이엠솔루션,경력무관,경남 창원시,"MES, PDM/PLM 프로그램 개발자 모집(C#, .NET, 파이썬, MS-SQL)",https://www.jobkorea.co.kr/Recruit/GI_Read/34886258?Oem_Code=C1&logpath=1
㈜대신기술능력개발원,신입·경력,서울 강동구,파이썬 빅데이터 평일야간/주말 강사모집,https://www.jobkorea.co.kr/Recruit/GI_Read/34882057?Oem_Code=C1&logpath=1
㈜선영종합엔지니어링,경력무관,경기 고양시 외,기술연구소 (AI연구 및 Python개발 / 드론영상처리) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/34841626?Oem_Code=C1&logpath=1
밀라노상인,경력무관,서울 금천구,명품 쇼핑몰 개발자(JAVA/PYTHON) 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/34791316?Oem_Code=C1&logpath=1
그린컴퓨터아카데미,경력2년↑,경기 성남시,"[국비지원교육] 자바[JAVA]/파이썬(웹,앱,빅데이터) 개발자 과정 훈련교.강사구인",https://www.jobkorea.co.kr/Recruit/GI_Read/34769206?Oem_Code=C1&logpath=1
써니랩아이티코딩컴퓨터학원,경력1년↑,인천 연수구,컴세바 동춘점 IT (C언어.JAVA.파이썬.알고리즘)시간강사및 전임강사모집),https://www.jobkorea.co.kr/Recruit/GI_Read/34757423?Oem_Code=C1&logpath=1
